jokeText,jokeHasHumor,jokeRate
que es mes en 45 las mes y medio,0,1
que pinta a vendo a spinning me he apuntado porque quieto poner en forma y porque ha mucha tas y porque ha mucha tas,0,1
que le dije un pecoso a otro pecoso te gano por punto,1,2
por que los de lepe cada vez que comprar una caja de leche la bren en el mismo supermercado porque en el envase dije abra aquí,0,1
un bonito le pregunta a su mama mama por que somo tan feo y la mama le responder ha hijo si superar como es el que esta leyenda esto,1,4
era un hombre tan feo tan feo que un de se presente en un concurso de feo y le dinero lo asiento no admitimos profesional,1,2
papa papa ayer sal con mi nuevo novio mecánico y me hijo algo que no entierro me hijo que tenso un lindo chasis y dos ellos amortiguador aparte de dos fabuloso paragolpes el padre le contenta dije a tu novio que si aire el caso y mida el aceite del motor romo el tubo de escape,1,3
una mujer cansada de que su marido llegar borracho a casa toda las noche decir dable un susto para que escarmiento esa noche cuando el esposo todavía no regresar de la juerga se disfraz del diablo y lo espera en silencio en la oscuridad apenas escucha girar la llave de la puerta la esposa se preparar y en cuanto entre el hombre alcoholizado como siempre caer encima de a gitano grrrrrrrrr he vencido a llevar el hombre mira con tranquilidad y responder de lo mismo hacer veinte los que vivo con tu hermana,1,4
hola el de prez no aliende sin cita previa es al separar cuando se miente y se comprender la fuerza con que se ama adelante,1,3
para que los de lepe poner la tela al revés para verme las braga a la presentadora,1,2
disimular y la mula hijo,0,1
un borracho en un bar al entrar le dije al camarero debe una botella para a una para usted y otra para todo los que esto aquí el camarero se las poner y al terminarlas le pie la cuenta el borracho contenta vaya hoy no trago dinero por lo que lo saca a golpe al de siguiente vuelta a ir y dije dama una botella para a una para usted y otra para todo los que esto aquí el camarero se las de y al terminar le cobra la cuenta y el borracho contenta se me olvido traer el dinero por lo que otra vez lo saca a patada al tercer de el borracho vuelta a la cantina y pie dama una botella para a y otra para todo los que esto aquí el camarero le pregunta y a a por que no porque usted cuando debe se poner violento,1,4
por que no se pues confiar en los taco porque siempre derramar los frijol,1,3
dos seora amiga le dije una a la otra pues mi marido es marino y se tira 11 mese en el mar y uno en casa se te ha el tiempo eterno no te crear porque se pasa medio mes en casa de su madre,0,1
claro aquí tener uno por que los libro no tener buen sentido del humor porque siempre tener la última página seria,0,1
dos amigo tan por el campo se encuentro una escopeta con los carne recortado sin saber muy bien lo que es uno de ellos se poner a mirar por los carne a modo de prismático mientras el otro hurra en los gatillo y claro se disparar los ojo del que mirada por los carne se le saltar de las órbita el otro le dije no me mies as que yo también me he ajustado,1,3
por que los ordenador nunca se refrán porque siempre tener las ventana abierta,1,3
en el restaurante vino de la casadero y a ti que te importar de donde vendo,0,1
promteme que cuidar a los nos y que les hablar de a ya las vuelto a poner tus síntoma en google te quieto mucho,1,2
por que los smartphones nunca se casa porque siempre tener miedo de que alguien les liga hasta que la batera nos separar,1,4
a tercer teaching children in a classroom medio si yo digno fu rica es pasado pero si yo digno son hermosa que es,0,1
ayer me dinero que son fea no te preocupar a a me ha dicho cosa peor que te ha dicho que también tres bastante mala persona,1,4
claro aquí tener uno por que los libro de matemática siempre esto triste porque tener demasiado problema,1,1
te gusto el pollo no y el curro pues tampoco entonces no te gustar lo que he hecho pollo al curro no me he acostado con tu mujer,1,3
que le dije una impresora a otra esta hoja es tuya o es impresión a,1,1
una pareja de gitano que en el carrefour les toca una caja de contoneo de saborea de regalo con la tarjeta de punto llegar a casa y el gitano le proponer aaaaayyyy peeeepaaa por que no jugar a la adivinanza aaaayyyy manuela a eso como se jueeegaaa mira apagado la luz yo me pongo un conde a me la chupar y adivinar el sabor vale vale apagar la luz y dije la pepa queso rokefooor aaaaayyyy chiiquiiillaaa espera a que me lo prolonga,1,5
por que el smartphone nunca se cas con la tableta porque siempre tuyo miedo de que le tijera no tener suficiente espacio para este compromiso,0,1
por que el libro se que al banco en latinoamrica porque quera abrir una cuenta de ahorro pero después de esperar tanto en la fila decidir que era mejor invertir en un marcador de página,0,1
pepe y su esposa de charla en el sala su mujer le pregunta mi amor a ti en que animal te gustar reencarnar buenonunca lo haba pensado pero me gustar ser un perro no no se vale repetir,1,2
una mujer le dije a su marido cario donde las dejar el libro de como pasar de los 100 los y su marido le responder lo he guardado en una caja fuerte en el banco no vaya a ser que a tu madre le de por leer,1,2
por que los banco en latinoamrica deber tener rifa gratis porque con la fila tan larga que tener podre ver toda una temporada de tu serie favorita antes de llegar al cajero,0,1
